host_acceptance_rate,host_has_profile_pic,host_identity_verified,host_is_superhost,host_listings_count,host_response_rate,host_response_time,host_total_listings_count,instant_bookable,is_business_travel_ready,is_location_exact,no_guest_requirement
1,1,0,1,1,1,within an hour,1,1,f,0,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,14,1,within an hour,14,1,t,1,0
1,1,1,1,1,1,within an hour,1,1,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,1,1,5,1,within an hour,5,0,t,1,0
1,1,1,1,7,1,within an hour,7,0,t,1,0
1,1,1,0,1,0,a few days or more,1,0,t,1,0
1,1,1,0,2,0.63,within a day,2,0,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,0,0,3,0.96,within an hour,3,1,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,1,0,27,1,within an hour,27,0,t,1,0
1,1,1,1,1,0.96,within an hour,1,1,t,1,0
1,1,1,0,7,0.96,within a few hours,7,0,t,1,0
1,1,0,1,3,1,within an hour,3,1,t,1,0
1,1,1,0,1,0.95,within a few hours,1,1,t,1,0
1,1,1,1,1,1,within a few hours,1,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,3,1,within an hour,3,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,1,1,within a day,1,0,t,1,0
1,1,1,0,3,0.92,within a few hours,3,1,t,1,0
1,1,1,0,1,0.8,within a day,1,0,t,1,0
1,1,1,0,17,0.95,within a day,17,0,t,1,0
1,1,1,0,1,1,within an hour,1,0,t,1,0
1,1,1,1,2,1,within a few hours,2,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,1,20,1,within an hour,20,1,t,1,0
1,1,1,0,2,1,within an hour,2,0,t,1,0
1,1,1,1,295,1,within an hour,295,0,t,1,0
1,1,1,0,1,0.88,within an hour,1,0,f,0,0
1,1,1,0,1,0.96,within an hour,1,0,t,1,0
1,1,1,0,1,1,within an hour,1,0,f,0,0
1,1,1,0,7,0.6,within a day,7,0,f,0,0
1,1,1,1,1,1,within an hour,1,1,t,1,0
1,1,1,0,5,0.4,a few days or more,5,0,t,1,0
1,1,0,0,343,1,within an hour,343,0,t,1,0
1,1,1,0,130,1,within an hour,130,1,t,1,0
1,1,1,0,27,1,within an hour,27,0,t,1,0
1,1,0,0,1,1,within an hour,1,1,t,1,0
1,1,0,0,1,1,within an hour,1,0,t,1,0
1,1,1,0,2,0.96,within an hour,2,1,f,0,0
1,1,1,1,5,1,within an hour,5,0,t,1,0
1,1,1,1,1,1,within an hour,1,1,t,1,0
1,1,1,1,2,1,within a few hours,2,0,t,1,0
1,1,0,0,5,1,within a few hours,5,0,t,1,0
1,1,1,0,1,0.5,within a day,1,1,t,1,0
1,1,1,1,2,0.9,within an hour,2,0,t,1,0
1,1,0,0,1,0.96,within an hour,1,0,t,1,0
